match_id,blue_top,blue_jg,blue_mid,blue_adc,blue_sup,red_top,red_jg,red_mid,red_adc,red_sup
EUW1_7620195980,Aurora,Ambessa,Sylas,Jhin,Bard,Illaoi,Diana,Malzahar,Corki,Nautilus
EUW1_7620151104,Zaahen,Aatrox,Cassiopeia,Corki,Blitzcrank,Gwen,Ambessa,Taliyah,Ezreal,Anivia
EUW1_7620101149,Gnar,Aatrox,Taliyah,Seraphine,Nautilus,Jayce,Khazix,Syndra,Jhin,Neeko
EUW1_7614594247,Sion,Ambessa,Ryze,Jhin,Janna,Chogath,Sylas,Jayce,Tristana,Alistar
EUW1_7614539802,Rumble,Ambessa,TwistedFate,Caitlyn,Senna,Yorick,RekSai,Akali,Kaisa,Blitzcrank
EUW1_7613920298,Zaahen,Rengar,Xerath,Jhin,Soraka,Corki,Chogath,Mel,Sivir,Nautilus
EUW1_7619496406,Renekton,Ambessa,Ahri,Corki,Janna,Quinn,LeeSin,Hwei,Yasuo,Alistar
EUW1_7619459331,Quinn,DrMundo,Ahri,Tristana,Lulu,Zaahen,Ambessa,Taliyah,Samira,Nautilus
EUW1_7619410050,Cassiopeia,Rengar,Neeko,Yunara,Lulu,Zaahen,Aatrox,Orianna,MissFortune,Alistar
EUW1_7619221324,Irelia,JarvanIV,Neeko,Mel,Pantheon,Ambessa,Karthus,Viktor,MissFortune,Thresh
EUW1_7619166004,Vladimir,Ambessa,Zed,Yunara,Lulu,Gnar,DrMundo,Ahri,Kaisa,Poppy
EUW1_7619134339,Sion,Diana,Zed,Caitlyn,Karma,Vladimir,Qiyana,Ahri,Yunara,Nautilus
EUW1_7619104865,Fiora,Nidalee,Mel,MissFortune,Nautilus,Aurora,JarvanIV,Ahri,Ezreal,Pantheon
EUW1_7619084918,Gnar,Elise,Annie,Yunara,Nami,Irelia,Karthus,Ahri,Ashe,Bard
EUW1_7619059732,Yorick,Ambessa,Mel,MissFortune,Shen,Zaahen,Aatrox,Ahri,Kaisa,Leona
EUW1_7615917755,Viego,XinZhao,Akali,Mel,Alistar,Shen,Ambessa,Galio,Yunara,Rell
EUW1_7617940731,Gangplank,JarvanIV,Mel,Yunara,Karma,Gwen,Chogath,Jayce,Kaisa,Rakan
EUW1_7617902515,Ambessa,Olaf,Sylas,Kaisa,Bard,Rumble,Rengar,Gwen,Nilah,Zilean
EUW1_7617770464,Yorick,Sylas,Viktor,Kaisa,Fiora,Rumble,Aatrox,Talon,MissFortune,Pantheon
EUW1_7617741724,Zaahen,Sylas,Qiyana,Ashe,Braum,Fiora,Chogath,Taliyah,Kaisa,Nautilus
EUW1_7617710213,Varus,Ambessa,Cassiopeia,Zeri,Lulu,Zaahen,Viego,Akali,Jhin,Fiora
EUW1_7617586891,Kled,Zaahen,Cassiopeia,Kaisa,Nautilus,Shen,RekSai,Orianna,Caitlyn,Rell
EUW1_7604702844,Riven,Shaco,Syndra,Kaisa,Pyke,Quinn,DrMundo,Seraphine,Ezreal,Leona
EUW1_7604655671,Ambessa,XinZhao,Morgana,Kaisa,Blitzcrank,Irelia,LeeSin,Syndra,Caitlyn,Janna
EUW1_7604429647,Ambessa,Neeko,Quinn,Tristana,Alistar,Vayne,Talon,Syndra,Jhin,Rell
EUW1_7604374581,Ambessa,Elise,Yone,Ziggs,Galio,Renekton,Khazix,Lissandra,Kaisa,Rell
EUW1_7620442094,Zaahen,Qiyana,Aurora,Ziggs,Amumu,Rumble,MonkeyKing,Mel,Jhin,Rakan
EUW1_7620400539,Aatrox,Hecarim,Hwei,Tristana,Rell,Zaahen,Sylas,Akali,Yunara,Taric
EUW1_7620260290,Quinn,JarvanIV,Syndra,Yunara,Alistar,DrMundo,LeeSin,Taliyah,MissFortune,Neeko
EUW1_7620231998,Zaahen,Qiyana,Vex,MissFortune,Janna,Jayce,Viego,Katarina,Mel,Blitzcrank
EUW1_7620130639,Yone,Qiyana,Taliyah,Smolder,Rell,Renekton,LeeSin,Syndra,Mel,Nautilus
EUW1_7620104464,Zaahen,Ornn,Sylas,Tristana,Lulu,Fiora,RekSai,Mel,Jhin,Bard
EUW1_7620075176,Jax,Aatrox,Syndra,Zeri,Rakan,KSante,Nidalee,Aurora,Vayne,Rell
EUW1_7620058669,Sylas,Qiyana,Ryze,Xayah,Rell,Fiora,Udyr,Akali,Kaisa,Alistar
EUW1_7619410050,Cassiopeia,Rengar,Neeko,Yunara,Lulu,Zaahen,Aatrox,Orianna,MissFortune,Alistar
EUW1_7619362932,Jax,Aatrox,Syndra,Mel,Senna,Sylas,DrMundo,Orianna,Fiora,Leona
EUW1_7618292430,Aphelios,Chogath,Ahri,KSante,Karma,Gnar,Trundle,Jayce,Ziggs,Alistar
EUW1_7618147687,Vladimir,Jayce,Neeko,Draven,Janna,Shen,Zed,Malzahar,Kaisa,Bard
EUW1_7618122613,DrMundo,Ambessa,Ahri,MissFortune,Pyke,Irelia,LeeSin,Vladimir,Kaisa,Poppy
EUW1_7618082942,Vladimir,Nunu,Poppy,Kalista,Renata,Aatrox,Diana,Yasuo,Kaisa,Rakan
EUW1_7618056492,Vayne,Nocturne,Ahri,Qiyana,Poppy,Riven,Diana,Yasuo,Lucian,Neeko
EUW1_7618002671,Aurora,Viego,Ahri,Tristana,Lulu,Sion,Aatrox,Ekko,Jhin,Janna
EUW1_7617971951,Shen,Diana,Ahri,MissFortune,Neeko,Kled,Nidalee,Syndra,Xayah,Leona
EUW1_7617131304,Rumble,Graves,Ahri,Jhin,Poppy,Sion,Kindred,Orianna,Ziggs,Rell
EUW1_7617107020,Zaahen,Diana,Tristana,Ziggs,Bard,Gwen,Aatrox,Ahri,Jhin,Pyke
EUW1_7617070921,Zaahen,Aatrox,Neeko,Malzahar,Bard,Fiora,Ambessa,Cassiopeia,Tristana,Pyke
EUW1_7619797806,Gnar,Ambessa,Ekko,Sivir,Poppy,Vayne,Viego,Sylas,Zeri,Neeko
EUW1_7619745657,Sion,Zed,Gwen,Yunara,Lulu,Jax,Aatrox,Velkoz,Jhin,Bard
